"handlaggare.csv","Notering","Trans","Odoo"
"HANDLAGGARE_ID",,,
"KONTOR_KOD",,"office_id,_","office_id"
"SIGNATUR",,"login,_","login"
"SIGNATUR",,"external_id,user_","external_id"
"TMSTAMP",,,
"KONTORSFILIAL",,,
"SEKTION",,,
"HANDLAGGARKATEGORI",,,
"BEHORIGHETSKOD",,,
"BEHORIGHETSADMIN",,,
"BEHORIGHETER_ADMIN_MODUL",,,
"ATERKALLA_UNDERRATTELSE",,,
"EFTERNAMN",,,"lastname"
"FORNAMN",,,"firstname"
"TELNR",,,"phone"
"TELNR_2",,,
"EXTERN_EPOST",,,"email"
"INTERN_EPOST",,,
"ETABLERINGSHANDL",,,
"LOSENORD",,,
"UPPDAT_DATUM",,,
"UPPDAT_SIGN",,,
"BYT_HANDLAGGARE",,,
"RADERAD",,,
"BEFATTNING",,,
"REGISTERVARD",,,
"ETABL_BEHORIGH_HELA_LANDET",,,
"LOGGMARKERING",,,
"UTM_ELLER_HTTP",,,
"VC_FORNAMN_SOK",,,
"VC_EFTERNAMN_SOK",,,
"VC_NAMN_SOK",,,
