id;customer_id;type;name;parent_id/id;Use Parent Address;street;street2;zip;city;country_id/id;country_id/name;phone;mobile;email;website;industry_id/id;industry_id/name;is_company;customer;supplier;
base.main_partner;10000000;Contact;Org HK ;;;Elgatan 4;;11364;STOCKHOLM           ;base.se;Sverige;077-110 00 00;;info@hk.se;www.org.se;0;0;TRUE;0;0;
demo_parent_10000001;10000001;Contact;Lernia Bemanning ;;;Fridhemsgatan 69;;18650;VALLENTUNA          ;base.se;Sverige;0792-54 07 47;;info@lerniabemanning.com;www.lerniabemanning.com;0;0;TRUE;TRUE;;
demo_parent_10000002;10000002;Contact;Ferronordic Machines ;;;Katarina Bangata 53;;74791;ALUNDA              ;base.se;Sverige;08-987 90 96;;info@ferronordicmachines.se;www.ferronordicmachines.se;0;0;TRUE;;TRUE;
demo_parent_10000003;10000003;Contact;If Skadeförsäkring;;;Kadettgatan 100;;16366;SPÅNGA              ;base.se;Sverige;032-327 27 67;;info@ifskadeforsakring.com;www.ifskadeforsakring.com;0;0;TRUE;;TRUE;
demo_parent_10000004;10000004;Contact;Eltel ;;;John Bergs Plan 92;;89195;ARNÄSVALL           ;base.se;Sverige;0621-23 76 19;;info@eltel.se;www.eltel.se;0;0;TRUE;;;
demo_parent_10000005;10000005;Contact;Södersjukhuset ;;;Mariagränd 78;;84058;PILGRIMSTAD         ;base.se;Sverige;08-414 07 58;;info@sodersjukhuset.se;www.sodersjukhuset.se;0;0;TRUE;;;
demo_parent_10000006;10000006;Contact;JM ;;;Wennerbergsgatan 35;;82492;HUDIKSVALL          ;base.se;Sverige;027-977 89 56;;info@jm.com;www.jm.com;0;0;TRUE;TRUE;TRUE;
demo_parent_10000007;10000007;Contact;Dometic Group ;;;Klevgränd 23;;95337;HAPARANDA           ;base.se;Sverige;0490-58 17 47;;info@dometicgroup.se;www.dometicgroup.se;0;0;TRUE;TRUE;;
demo_parent_10000008;10000008;Contact;Bygghemma Group First ;;;Helgalunden 73;;52339;ULRICEHAMN          ;base.se;Sverige;08-140 45 98;;info@bygghemmagroupfirst.com;www.bygghemmagroupfirst.com;0;0;TRUE;;TRUE;
demo_parent_10000009;10000009;Contact;Din Bil Sverige ;;;Drakenbergsgatan 77;;44793;VÅRGÅRDA            ;base.se;Sverige;013-807 82 49;;info@dinbilsverige.com;www.dinbilsverige.com;0;0;TRUE;;TRUE;
